country,iso3,Population density,GDP per capita,Inflation rate,Health expenditure per capita,Unemployment rate,Extreme poverty,Life expectancy,Crude death rate,Population aged 65 and above,Tobacco use,Hospital beds,Air Passengers,Lower secondary,Pupil-teacher ratio,Education expenditure,Diabetes prevalence,Health personnel
Australia,AUS,3.29365056253104,55049.571919719,3.46372273602202,5555.37402344,5.159,0.5,82.9,6.7,15.93194153764,14.0,3.84,76850596.719,93.9455032348633,14.78869,5.13429021835327,6.6,21.127000000000002
Austria,AUT,107.609306834707,50067.5857265892,1.60787622974401,5262.05419922,4.56,0.6,81.8951219512195,9.4,18.9301120801555,27.1,7.27,46476602.0,99.5548477172852,10.01653,5.21750020980835,6.6,15.968
Azerbaijan,AZE,121.280071139933,4805.75371765917,-0.241307927446329,191.75552368,5.0,0.7,73.102,5.6,6.24104285523163,24.2,4.82,2585280.0,95.5190582275391,15.42982,3.1764600276947,2.8,9.389
Bahamas,BHS,40.4152847152847,32279.0113630465,3.97468052072136,1921.1270752,10.0,0.7,71.205,7.943,7.96785125458217,10.7,2.96,1856546.0,89.1371307373047,19.44891,2.7009744644165,12.1,6.237
Bahrain,BHR,1915.62564102564,25869.1129129041,0.0832617803389297,1024.39054519,1.2,0.7,80.019,2.0,2.94818893332401,15.2,1.74,6440562.0,82.0465087890625,11.92315,2.38460445404053,19.5,3.188
Bangladesh,BGD,1271.53892601982,2122.07839667492,3.65816796352436,47.66782379,4.372,13.5,72.806,5.28,5.44386972534934,35.2,0.79,6260241.0,44.6835517883301,30.05459,1.68138802051544,10.5,1.013
Barbados,BRB,651.581395348837,19063.1022913841,4.24260950743623,1171.25622559,8.413,13.5,77.257,8.91,14.6240178171494,8.5,5.97,2984121.694,44.6835517883301,13.9917,4.11122989654541,12.4,5.686
Belarus,BLR,46.4107506220284,6837.76832136779,8.57690850921516,390.24972534,4.165,0.0,74.2268292682927,12.8,16.215750491706,30.9,10.83,3208254.0,98.1666870117188,19.23259,4.97948980331421,8.0,15.144000000000002
Belgium,BEL,379.424702774108,46641.7214017087,1.76809741631743,4983.65673828,5.36,0.1,81.9951219512195,9.5,19.0117768297794,23.9,5.58,14279187.0,88.4269638061523,11.27695,6.33397006988525,4.8,22.507
Belize,BLZ,17.0580885576502,6134.21523305713,-0.130661894485968,303.53390503,9.053,0.1,73.931,4.727,4.66171500533289,8.8,1.04,1278187.556,52.1646385192871,19.78332,5.90775012969971,17.0,3.429
Benin,BEN,108.996488116353,1170.8859954114,-0.39755379308734,27.17067146,1.473,20.1,60.454,9.248,3.09036028315983,7.2,0.5,899.0,14.0790596008301,39.19712,3.00273609161377,2.0,0.353
